"filename", "language", "JavaScript", "Vue.js", "CSS", "XML", "JSON", "comment", "blank", "total"
"d:\Projects\vue\nCov-tracker-vue3\src\App.vue", "Vue.js", 0, 53, 0, 0, 0, 3, 11, 67
"d:\Projects\vue\nCov-tracker-vue3\src\api\article.js", "JavaScript", 20, 0, 0, 0, 0, 0, 3, 23
"d:\Projects\vue\nCov-tracker-vue3\src\api\statistics.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"d:\Projects\vue\nCov-tracker-vue3\src\api\user.js", "JavaScript", 33, 0, 0, 0, 0, 0, 6, 39
"d:\Projects\vue\nCov-tracker-vue3\src\assets\imgs\article\Pencil.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projects\vue\nCov-tracker-vue3\src\assets\imgs\menuClose.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 2
"d:\Projects\vue\nCov-tracker-vue3\src\assets\imgs\menuOpen.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 2
"d:\Projects\vue\nCov-tracker-vue3\src\assets\json\china.json", "JSON", 0, 0, 0, 0, 27295, 0, 0, 27295
"d:\Projects\vue\nCov-tracker-vue3\src\components\CButton.vue", "Vue.js", 0, 33, 0, 0, 0, 0, 4, 37
"d:\Projects\vue\nCov-tracker-vue3\src\components\CDialog.vue", "Vue.js", 0, 44, 0, 0, 0, 1, 6, 51
"d:\Projects\vue\nCov-tracker-vue3\src\components\article\Card.vue", "Vue.js", 0, 30, 0, 0, 0, 0, 6, 36
"d:\Projects\vue\nCov-tracker-vue3\src\components\article\Timeline.vue", "Vue.js", 0, 76, 0, 0, 0, 1, 10, 87
"d:\Projects\vue\nCov-tracker-vue3\src\components\chart\China.vue", "Vue.js", 0, 107, 0, 0, 0, 6, 8, 121
"d:\Projects\vue\nCov-tracker-vue3\src\components\report\CityReport.vue", "Vue.js", 0, 159, 0, 0, 0, 0, 19, 178
"d:\Projects\vue\nCov-tracker-vue3\src\components\report\Domestic.vue", "Vue.js", 0, 143, 0, 0, 0, 0, 11, 154
"d:\Projects\vue\nCov-tracker-vue3\src\components\visualization\GrowthTrend.vue", "Vue.js", 0, 129, 0, 0, 0, 0, 8, 137
"d:\Projects\vue\nCov-tracker-vue3\src\components\visualization\IncreasedProportion.vue", "Vue.js", 0, 66, 0, 0, 0, 0, 8, 74
"d:\Projects\vue\nCov-tracker-vue3\src\index.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 5
"d:\Projects\vue\nCov-tracker-vue3\src\main.js", "JavaScript", 29, 0, 0, 0, 0, 0, 4, 33
"d:\Projects\vue\nCov-tracker-vue3\src\router\index.js", "JavaScript", 64, 0, 0, 0, 0, 0, 4, 68
"d:\Projects\vue\nCov-tracker-vue3\src\utils\axios.js", "JavaScript", 28, 0, 0, 0, 0, 8, 5, 41
"d:\Projects\vue\nCov-tracker-vue3\src\utils\utils.js", "JavaScript", 101, 0, 0, 0, 0, 2, 3, 106
"d:\Projects\vue\nCov-tracker-vue3\src\views\404.vue", "Vue.js", 0, 18, 0, 0, 0, 0, 5, 23
"d:\Projects\vue\nCov-tracker-vue3\src\views\Index.vue", "Vue.js", 0, 182, 0, 0, 0, 2, 20, 204
"d:\Projects\vue\nCov-tracker-vue3\src\views\Login.vue", "Vue.js", 0, 130, 0, 0, 0, 0, 17, 147
"d:\Projects\vue\nCov-tracker-vue3\src\views\Report.vue", "Vue.js", 0, 55, 0, 0, 0, 0, 8, 63
"d:\Projects\vue\nCov-tracker-vue3\src\views\Signup.vue", "Vue.js", 0, 240, 0, 0, 0, 2, 20, 262
"d:\Projects\vue\nCov-tracker-vue3\src\views\Test.vue", "Vue.js", 0, 38, 0, 0, 0, 1, 3, 42
"d:\Projects\vue\nCov-tracker-vue3\src\views\Visualization.vue", "Vue.js", 0, 375, 0, 0, 0, 7, 45, 427
"d:\Projects\vue\nCov-tracker-vue3\src\views\article\Article.vue", "Vue.js", 0, 53, 0, 0, 0, 1, 10, 64
"d:\Projects\vue\nCov-tracker-vue3\src\views\article\Editor.vue", "Vue.js", 0, 62, 0, 0, 0, 2, 7, 71
"d:\Projects\vue\nCov-tracker-vue3\src\views\article\Preview.vue", "Vue.js", 0, 34, 0, 0, 0, 0, 7, 41
"Total", "-", 294, 2027, 5, 5, 27295, 36, 261, 29923
